sentences,words,OOV,logprob,ppl,ppl1
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
1,6,3,-11.5082,753.443,6855.95
1,9,1,-30.0812,2199.64,5756.34
1,9,1,-23.3074,388.791,819.276
1,6,2,-14.2412,705.089,3633.33
1,9,0,-30.5044,1123.17,2451.22
1,8,1,-21.6665,510.874,1245.13
1,7,1,-19.8576,686.756,2039.87
1,6,1,-14.4409,255.163,773.002
1,7,1,-16.8492,255.286,642.981
1,6,2,-14.2122,695.732,3573.16
1,9,0,-22.3306,171.023,302.812
1,7,0,-23.1475,782.42,2026.7
1,8,1,-23.2214,799.241,2076.57
1,3,2,-7.07467,3446.15,1.18759e+07
0,0,0,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
1,10,0,-32.2484,854.426,1678.19
1,6,1,-16.3562,532.15,1867.42
1,4,1,-13.7295,2706.27,37713.3
1,10,2,-26.6349,910.822,2134.83
1,5,1,-16.2174,1751.81,11333.4
1,6,3,-14.057,3267.72,48490.8
1,3,0,-14.4495,4096.07,65537.4
1,9,1,-26.8398,959.842,2264.51
1,8,1,-21.407,474.107,1143.26
1,7,1,-25.3638,4201.51,16877.4
1,10,1,-21.2818,134.331,231.548
1,8,1,-19.2504,254.859,562.414
1,8,2,-19.1231,539.348,1538.79
1,9,2,-19.0705,241.999,530.101
1,5,1,-17.7518,3551.1,27412.8
1,6,2,-14.0069,632.956,3174.8
1,7,1,-21.2943,1101.65,3540.38
0,0,0,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
,,,"sentences,","words,",OOVs
1,2,1,-6.17717,1226.27,1.50373e+06
1,4,1,-10.6506,459.882,3549.73
1,5,0,-13.0273,148.328,403.151
1,4,0,-13.8339,584.489,2873.89
1,4,1,-10.6506,459.882,3549.73
1,6,0,-14.6206,122.646,273.378
102,494,70,-1664.93,1463.07,8447.32
75,597,114,-1695.45,1092.56,3237.83
90,746,108,-2138.67,866.432,2249.82
68,547,115,-1542.01,1213.46,3710.87
86,715,117,-1997.26,831.712,2187.27
98,688,119,-1977.44,921.894,2987.4
82,606,143,-1619.87,938.059,3152.31
100,628,95,-1844.36,819.759,2886.32
91,575,127,-1648.61,1144.57,4785.51
86,519,289,-1070.79,2446.6,45247.2
115,624,71,-2097.75,1381.48,6214.41
2,175,32,-457.91,1438.81,1592.84
41,350,49,-951.882,607.129,1453.45
37,333,90,-853.825,1120.4,3263.48
71,660,82,-1869.56,759.764,1716.07
53,640,180,-1346.01,420.538,843.555
73,651,70,-1758.99,489.309,1065.41
91,575,127,-1648.61,1144.57,4785.51
59,471,78,-1397.57,1235.84,3598.73
80,644,125,-1906.41,1522.82,4712.28
106,550,73,-1768.43,1079.74,5097.91
58,253,27,-848.301,970.457,5669.51
58,406,40,-1396.44,1965.61,6537.6
91,560,146,-1426.71,668.605,2793.58
21,122,45,-307.327,1367.69,9800.67
81,685,55,-1872.02,429.473,936.388
72,582,132,-1564.99,995.54,3004.33
81,646,176,-2016.96,4576.68,19561.9
