sentences,words,OOV,logprob,ppl,ppl1
75,666,69,-1953.88,808.271,1874.25
76,297,158,-780.442,4265.45,411806
36,343,29,-1092.83,1325.44,3022.3
80,523,340,-937.51,3670.1,132742
80,641,101,-1757.32,682.959,1796
120,703,118,-1951.77,586.768,2169.48
68,451,37,-1385.93,750.554,2226.73
79,518,24,-1555.92,519.259,1411.32
45,263,174,-453.806,2435.63,125586
79,518,24,-1555.92,519.259,1411.32
122,386,21,-1378.62,677.404,5984.79
55,393,29,-1209.37,769.707,2101.1
94,495,1,-1741.12,914.306,3346.1
1,18,2,-53.4379,1391.25,2187.09
64,440,288,-789.035,4497.16,155245
69,424,62,-1308.99,1089.17,4130.38
54,248,145,-579.241,4891.4,420436
65,360,46,-1112.63,862.406,3494.81
26,132,7,-425.949,661.995,2556.18
32,180,4,-620.57,962.74,3357.11
22,121,56,-339.321,7947.78,166085
47,356,50,-1088.49,1212.09,3607.02
52,464,24,-1515.35,1202.2,2779.54
28,151,4,-498.397,704.67,2457.3
53,330,22,-1006.51,613.927,1853.06
80,520,64,-1585.67,908.525,3001.54
74,688,75,-1925.55,635.098,1384.18
29,159,9,-506.857,678.586,2393.58
57,386,15,-1216.81,696.631,1904.58
100,464,57,-1466.16,779.522,4002.68
54,546,43,-1582.55,693.742,1400.29
74,606,43,-1884.43,908.43,2223.95
70,448,33,-1349.38,605.663,1784.53
47,396,58,-1108.42,756.849,1902.59
55,393,29,-1209.37,769.707,2101.1
49,481,43,-1344,575.109,1170.82
90,579,58,-1802.52,891.472,2882.2
45,365,52,-1039.9,803.082,2100.76
30,199,24,-635.939,1265.14,4304.62
121,712,128,-2032.01,762.576,3016.26
35,189,11,-617.053,788.791,2928.12
28,133,5,-456.605,845.197,3691.73
35,229,126,-531.721,7129.4,145326
83,577,44,-1779.54,774.232,2181.39
74,606,43,-1884.43,908.43,2223.95
30,169,110,-329.502,5038.09,384392
131,665,107,-1883.91,542.343,2377.89
41,208,127,-429.063,3287.83,198186
35,195,7,-678.106,1098.59,4045.28
69,415,18,-1295.57,602.831,1834.02
49,254,36,-737.687,579.26,2420.4
83,577,44,-1779.54,774.232,2181.39
62,353,220,-637.427,1857.18,62041.4
62,382,18,-1249.17,855.725,2702.7
37,203,128,-434.812,7625.2,627328
24,186,108,-401.052,8548.28,138576
86,586,16,-1858.71,681.384,1823.42
79,657,90,-1846.27,721.103,1803.85
43,393,24,-1111.39,498.364,1027.77
26,151,9,-478.891,708.83,2357.61
59,410,28,-1196.79,517.367,1358.14
86,586,16,-1858.71,681.384,1823.42
101,552,93,-1537.47,556.519,2236.69
74,606,43,-1884.43,908.43,2223.95
186,1157,252,-3152.87,776.053,3046.74
35,195,7,-678.106,1098.59,4045.28
57,300,27,-990.93,1006.51,4263.62
36,315,15,-948.757,666.32,1453.87
26,132,8,-432.364,762.831,3067.67
54,546,43,-1582.55,693.742,1400.29
100,494,86,-1549.94,1124.76,6293.15
92,413,90,-1120.63,501.547,2947.41
69,424,62,-1308.99,1089.17,4130.38
26,197,0,-653.104,848.628,2066.56
99,513,106,-1448.43,728.627,3620.68
62,437,66,-1232.24,701.157,2096.02
31,403,51,-1115.16,815.898,1472.51
44,388,14,-1175.29,648.195,1388.34
85,569,76,-1796.11,1280.74,4397.76
95,549,75,-1619.38,701.468,2608.62
83,577,44,-1779.54,774.232,2181.39
53,292,67,-753.677,514.126,2237.06
74,383,67,-1122.64,756.085,3569.98
36,301,8,-1000.38,1098.14,2595.71
129,442,71,-1412.03,666.888,6397.37
45,279,14,-867.933,630.645,1884.6
58,503,46,-1404.98,534.714,1186.75
75,531,37,-1536.63,501.867,1290.02
93,446,322,-737.856,2513.37,892175
62,437,66,-1232.24,701.157,2096.02
156,759,176,-1881.35,351.402,1686.61
101,617,124,-1652.05,604.257,2243.91
24,169,28,-457.393,591.671,1753.57
79,518,24,-1555.92,519.259,1411.32
29,197,8,-648.258,941.149,2691.13
122,483,142,-1297.58,634.669,6385.84
