file lyrics-kanye-west/song_131.txt: 121 sentences, 780 words, 0 OOVs
0 zeroprobs, logprob= -1847.57 ppl= 112.35 ppl1= 233.71
file lyrics-kanye-west/song_132.txt: 22 sentences, 164 words, 0 OOVs
0 zeroprobs, logprob= -392.351 ppl= 128.651 ppl1= 246.822
file lyrics-kanye-west/song_133.txt: 87 sentences, 546 words, 0 OOVs
0 zeroprobs, logprob= -1409.1 ppl= 168.295 ppl1= 380.868
file lyrics-kanye-west/song_134.txt: 74 sentences, 607 words, 0 OOVs
0 zeroprobs, logprob= -1344.24 ppl= 94.173 ppl1= 163.897
file lyrics-kanye-west/song_135.txt: 58 sentences, 410 words, 0 OOVs
0 zeroprobs, logprob= -864.573 ppl= 70.3684 ppl1= 128.444
file lyrics-kanye-west/song_136.txt: 60 sentences, 476 words, 0 OOVs
0 zeroprobs, logprob= -1171.65 ppl= 153.428 ppl1= 289.361
file lyrics-kanye-west/song_137.txt: 50 sentences, 324 words, 0 OOVs
0 zeroprobs, logprob= -687.156 ppl= 68.7567 ppl1= 132.084
file lyrics-kanye-west/song_138.txt: 87 sentences, 701 words, 0 OOVs
0 zeroprobs, logprob= -1626.73 ppl= 115.978 ppl1= 209.209
file lyrics-kanye-west/song_139.txt: 62 sentences, 474 words, 0 OOVs
0 zeroprobs, logprob= -1101.63 ppl= 113.575 ppl1= 210.919
file lyrics-kanye-west/song_140.txt: 69 sentences, 505 words, 0 OOVs
0 zeroprobs, logprob= -1223.29 ppl= 135.257 ppl1= 264.453
file lyrics-kanye-west/song_141.txt: 112 sentences, 610 words, 0 OOVs
0 zeroprobs, logprob= -1361.32 ppl= 76.8225 ppl1= 170.481
file lyrics-kanye-west/song_142.txt: 77 sentences, 700 words, 0 OOVs
0 zeroprobs, logprob= -1526.09 ppl= 92.0629 ppl1= 151.403
file lyrics-kanye-west/song_143.txt: 91 sentences, 673 words, 0 OOVs
0 zeroprobs, logprob= -1592.13 ppl= 121.324 ppl1= 232.128
file lyrics-kanye-west/song_144.txt: 106 sentences, 905 words, 0 OOVs
0 zeroprobs, logprob= -2223.82 ppl= 158.35 ppl1= 286.586
file lyrics-kanye-west/song_145.txt: 73 sentences, 500 words, 0 OOVs
0 zeroprobs, logprob= -1282.39 ppl= 172.996 ppl1= 367.103
file lyrics-kanye-west/song_146.txt: 26 sentences, 200 words, 0 OOVs
0 zeroprobs, logprob= -516.631 ppl= 193.187 ppl1= 382.96
file lyrics-kanye-west/song_147.txt: 92 sentences, 664 words, 0 OOVs
0 zeroprobs, logprob= -1545.14 ppl= 110.619 ppl1= 212.331
file lyrics-kanye-west/song_148.txt: 56 sentences, 499 words, 0 OOVs
0 zeroprobs, logprob= -1122.72 ppl= 105.419 ppl1= 177.803
file lyrics-kanye-west/song_149.txt: 46 sentences, 379 words, 0 OOVs
0 zeroprobs, logprob= -854.992 ppl= 102.741 ppl1= 180.267
file lyrics-kanye-west/song_150.txt: 74 sentences, 652 words, 0 OOVs
0 zeroprobs, logprob= -1506.1 ppl= 118.718 ppl1= 204.158
file lyrics-kanye-west/song_151.txt: 115 sentences, 998 words, 0 OOVs
0 zeroprobs, logprob= -2549.41 ppl= 195.245 ppl1= 358.528
file lyrics-kanye-west/song_152.txt: 128 sentences, 977 words, 0 OOVs
0 zeroprobs, logprob= -2273.19 ppl= 114.073 ppl1= 212.179
file lyrics-kanye-west/song_153.txt: 78 sentences, 572 words, 0 OOVs
0 zeroprobs, logprob= -1395.38 ppl= 140.199 ppl1= 275.095
file lyrics-kanye-west/song_154.txt: 74 sentences, 587 words, 0 OOVs
0 zeroprobs, logprob= -1387.86 ppl= 125.788 ppl1= 231.383
file lyrics-kanye-west/song_155.txt: 63 sentences, 451 words, 0 OOVs
0 zeroprobs, logprob= -1081.87 ppl= 127.294 ppl1= 250.511
file lyrics-kanye-west/song_156.txt: 45 sentences, 318 words, 0 OOVs
0 zeroprobs, logprob= -711.835 ppl= 91.4068 ppl1= 173.171
file lyrics-kanye-west/song_157.txt: 30 sentences, 247 words, 0 OOVs
0 zeroprobs, logprob= -593.35 ppl= 138.694 ppl1= 252.48
file lyrics-kanye-west/song_158.txt: 36 sentences, 286 words, 0 OOVs
0 zeroprobs, logprob= -704.437 ppl= 154.061 ppl1= 290.447
file lyrics-kanye-west/song_159.txt: 8 sentences, 64 words, 0 OOVs
0 zeroprobs, logprob= -159.123 ppl= 162.195 ppl1= 306.402
file lyrics-kanye-west/song_160.txt: 79 sentences, 764 words, 0 OOVs
0 zeroprobs, logprob= -1730.96 ppl= 113.067 ppl1= 184.357
file lyrics-kanye-west/song_161.txt: 52 sentences, 437 words, 0 OOVs
0 zeroprobs, logprob= -1087.49 ppl= 167.456 ppl1= 307.985
file lyrics-kanye-west/song_162.txt: 40 sentences, 301 words, 0 OOVs
0 zeroprobs, logprob= -620.853 ppl= 66.1735 ppl1= 115.514
file lyrics-kanye-west/song_163.txt: 5 sentences, 285 words, 0 OOVs
0 zeroprobs, logprob= -711.568 ppl= 284.238 ppl1= 313.855
file lyrics-kanye-west/song_164.txt: 59 sentences, 346 words, 0 OOVs
0 zeroprobs, logprob= -775.12 ppl= 82.0119 ppl1= 173.873
file lyrics-kanye-west/song_165.txt: 23 sentences, 222 words, 0 OOVs
0 zeroprobs, logprob= -574.544 ppl= 221.349 ppl1= 387.29
file lyrics-kanye-west/song_166.txt: 49 sentences, 293 words, 0 OOVs
0 zeroprobs, logprob= -732.962 ppl= 139.048 ppl1= 317.379
file lyrics-kanye-west/song_167.txt: 64 sentences, 597 words, 0 OOVs
0 zeroprobs, logprob= -1509.41 ppl= 192.101 ppl1= 337.543
file lyrics-kanye-west/song_168.txt: 87 sentences, 546 words, 0 OOVs
0 zeroprobs, logprob= -1146.33 ppl= 64.7065 ppl1= 125.749
file lyrics-kanye-west/song_169.txt: 82 sentences, 601 words, 0 OOVs
0 zeroprobs, logprob= -1361.15 ppl= 98.3782 ppl1= 183.996
file lyrics-kanye-west/song_170.txt: 146 sentences, 956 words, 0 OOVs
0 zeroprobs, logprob= -2156.02 ppl= 90.4617 ppl1= 179.993
file lyrics-kanye-west/song_171.txt: 86 sentences, 682 words, 0 OOVs
0 zeroprobs, logprob= -1467.43 ppl= 81.4176 ppl1= 141.794
file lyrics-kanye-west/song_172.txt: 50 sentences, 324 words, 0 OOVs
0 zeroprobs, logprob= -687.156 ppl= 68.7567 ppl1= 132.084
file lyrics-kanye-west/song_173.txt: 111 sentences, 846 words, 0 OOVs
0 zeroprobs, logprob= -2142.81 ppl= 173.418 ppl1= 341.095
file lyrics-kanye-west/song_174.txt: 68 sentences, 495 words, 0 OOVs
0 zeroprobs, logprob= -1167.97 ppl= 118.725 ppl1= 228.838
file lyrics-kanye-west/song_175.txt: 60 sentences, 510 words, 0 OOVs
0 zeroprobs, logprob= -1210.2 ppl= 132.787 ppl1= 236.014
file lyrics-kanye-west/song_176.txt: 32 sentences, 255 words, 0 OOVs
0 zeroprobs, logprob= -540.642 ppl= 76.519 ppl1= 131.875
file lyrics-kanye-west/song_177.txt: 85 sentences, 539 words, 0 OOVs
0 zeroprobs, logprob= -1288.5 ppl= 116.119 ppl1= 245.774
file lyrics-kanye-west/song_178.txt: 72 sentences, 576 words, 0 OOVs
0 zeroprobs, logprob= -1470.11 ppl= 185.649 ppl1= 356.679
file lyrics-kanye-west/song_179.txt: 15 sentences, 101 words, 0 OOVs
0 zeroprobs, logprob= -245.841 ppl= 131.619 ppl1= 271.688
file lyrics-kanye-west/song_180.txt: 112 sentences, 610 words, 0 OOVs
0 zeroprobs, logprob= -1361.32 ppl= 76.8225 ppl1= 170.481
file lyrics-kanye-west/song_181.txt: 81 sentences, 658 words, 0 OOVs
