0 zeroprobs, logprob= -1232.79 ppl= 64.6057 ppl1= 107.39
file lyrics-kanye-west/song_135.txt: 58 sentences, 410 words, 0 OOVs
0 zeroprobs, logprob= -810.591 ppl= 53.9549 ppl1= 94.8528
file lyrics-kanye-west/song_136.txt: 60 sentences, 476 words, 0 OOVs
0 zeroprobs, logprob= -1094.65 ppl= 110.219 ppl1= 199.381
file lyrics-kanye-west/song_137.txt: 50 sentences, 324 words, 0 OOVs
0 zeroprobs, logprob= -616.029 ppl= 44.3747 ppl1= 79.6753
file lyrics-kanye-west/song_138.txt: 87 sentences, 701 words, 0 OOVs
0 zeroprobs, logprob= -1504.61 ppl= 81.1709 ppl1= 140.079
file lyrics-kanye-west/song_139.txt: 62 sentences, 474 words, 0 OOVs
0 zeroprobs, logprob= -1009.06 ppl= 76.3073 ppl1= 134.527
file lyrics-kanye-west/song_140.txt: 69 sentences, 505 words, 0 OOVs
0 zeroprobs, logprob= -1147.75 ppl= 99.9007 ppl1= 187.403
file lyrics-kanye-west/song_141.txt: 112 sentences, 610 words, 0 OOVs
0 zeroprobs, logprob= -1240.84 ppl= 52.3144 ppl1= 108.186
file lyrics-kanye-west/song_142.txt: 77 sentences, 700 words, 0 OOVs
0 zeroprobs, logprob= -1418.87 ppl= 67.0029 ppl1= 106.405
file lyrics-kanye-west/song_143.txt: 91 sentences, 673 words, 0 OOVs
0 zeroprobs, logprob= -1491.48 ppl= 89.5786 ppl1= 164.502
file lyrics-kanye-west/song_144.txt: 106 sentences, 905 words, 0 OOVs
0 zeroprobs, logprob= -2120.1 ppl= 125.036 ppl1= 220.118
file lyrics-kanye-west/song_145.txt: 73 sentences, 500 words, 0 OOVs
0 zeroprobs, logprob= -1187.52 ppl= 118.157 ppl1= 237.157
file lyrics-kanye-west/song_146.txt: 26 sentences, 200 words, 0 OOVs
0 zeroprobs, logprob= -487.696 ppl= 143.862 ppl1= 274.46
file lyrics-kanye-west/song_147.txt: 92 sentences, 664 words, 0 OOVs
0 zeroprobs, logprob= -1407.29 ppl= 72.6935 ppl1= 131.648
file lyrics-kanye-west/song_148.txt: 56 sentences, 499 words, 0 OOVs
