0 zeroprobs, logprob= -1957.91 ppl= 110.598 ppl1= 187.93
file rapsongs/song_95.txt: 40 sentences, 364 words, 0 OOVs
0 zeroprobs, logprob= -845.7 ppl= 123.97 ppl1= 210.549
file rapsongs/song_96.txt: 63 sentences, 376 words, 0 OOVs
0 zeroprobs, logprob= -923.503 ppl= 126.955 ppl1= 285.841
file rapsongs/song_97.txt: 64 sentences, 605 words, 0 OOVs
0 zeroprobs, logprob= -1438.76 ppl= 141.453 ppl1= 238.844
file rapsongs/song_98.txt: 72 sentences, 652 words, 0 OOVs
0 zeroprobs, logprob= -1593.04 ppl= 158.609 ppl1= 277.529
file rapsongs/song_99.txt: 63 sentences, 564 words, 0 OOVs
0 zeroprobs, logprob= -1301.46 ppl= 119.039 ppl1= 203.025
file rapsongs/song_100.txt: 90 sentences, 735 words, 0 OOVs
0 zeroprobs, logprob= -1678.57 ppl= 108.301 ppl1= 192.207
file rapsongs/song_101.txt: 4 sentences, 90 words, 0 OOVs
0 zeroprobs, logprob= -233.406 ppl= 304.119 ppl1= 392.104
file rapsongs/song_102.txt: 113 sentences, 815 words, 0 OOVs
0 zeroprobs, logprob= -1829.12 ppl= 93.5479 ppl1= 175.517
file rapsongs/song_103.txt: 68 sentences, 681 words, 0 OOVs
0 zeroprobs, logprob= -1339.96 ppl= 61.5173 ppl1= 92.8184
file rapsongs/song_104.txt: 74 sentences, 553 words, 0 OOVs
0 zeroprobs, logprob= -1402.39 ppl= 172.45 ppl1= 343.528
file rapsongs/song_105.txt: 58 sentences, 432 words, 0 OOVs
0 zeroprobs, logprob= -981.494 ppl= 100.704 ppl1= 187.058
file rapsongs/song_106.txt: 84 sentences, 698 words, 0 OOVs
0 zeroprobs, logprob= -1499.92 ppl= 82.8057 ppl1= 140.892
file rapsongs/song_107.txt: 1 sentences, 18 words, 0 OOVs
0 zeroprobs, logprob= -31.5126 ppl= 45.557 ppl1= 56.3245
file rapsongs/song_108.txt: 58 sentences, 492 words, 0 OOVs
0 zeroprobs, logprob= -1072.27 ppl= 89.0395 ppl1= 151.151
file rapsongs/song_109.txt: 95 sentences, 734 words, 0 OOVs
0 zeroprobs, logprob= -1766.83 ppl= 135.293 ppl1= 255.342
file rapsongs/song_110.txt: 68 sentences, 511 words, 0 OOVs
0 zeroprobs, logprob= -1234.81 ppl= 135.727 ppl1= 260.895
file rapsongs/song_111.txt: 77 sentences, 634 words, 0 OOVs
0 zeroprobs, logprob= -1521.87 ppl= 138.187 ppl1= 251.437
file rapsongs/song_112.txt: 37 sentences, 330 words, 0 OOVs
0 zeroprobs, logprob= -780.095 ppl= 133.537 ppl1= 231.167
file rapsongs/song_113.txt: 1 sentences, 275 words, 0 OOVs
0 zeroprobs, logprob= -666.169 ppl= 259.212 ppl1= 264.504
file rapsongs/song_114.txt: 58 sentences, 506 words, 0 OOVs
0 zeroprobs, logprob= -1222.28 ppl= 146.948 ppl1= 260.36
file rapsongs/song_115.txt: 100 sentences, 730 words, 0 OOVs
0 zeroprobs, logprob= -1552.84 ppl= 74.2829 ppl1= 134.022
file rapsongs/song_116.txt: 1 sentences, 146 words, 0 OOVs
0 zeroprobs, logprob= -346.383 ppl= 227.168 ppl1= 235.768
file rapsongs/song_117.txt: 88 sentences, 833 words, 0 OOVs
0 zeroprobs, logprob= -1842 ppl= 99.9994 ppl1= 162.66
file rapsongs/song_118.txt: 65 sentences, 450 words, 0 OOVs
0 zeroprobs, logprob= -1064.58 ppl= 116.72 ppl1= 232.131
file rapsongs/song_119.txt: 114 sentences, 804 words, 0 OOVs
0 zeroprobs, logprob= -1801.35 ppl= 91.6752 ppl1= 173.973
file rapsongs/song_120.txt: 50 sentences, 396 words, 0 OOVs
0 zeroprobs, logprob= -902.973 ppl= 105.829 ppl1= 190.649
file rapsongs/song_121.txt: 4 sentences, 39 words, 0 OOVs
0 zeroprobs, logprob= -101.353 ppl= 227.536 ppl1= 397.008
file rapsongs/song_122.txt: 79 sentences, 651 words, 0 OOVs
0 zeroprobs, logprob= -1508.23 ppl= 116.43 ppl1= 207.389
file rapsongs/song_123.txt: 77 sentences, 500 words, 0 OOVs
0 zeroprobs, logprob= -1235.34 ppl= 138.35 ppl1= 295.589
file rapsongs/song_124.txt: 69 sentences, 615 words, 0 OOVs
0 zeroprobs, logprob= -1468.96 ppl= 140.476 ppl1= 244.653
file rapsongs/song_125.txt: 41 sentences, 368 words, 0 OOVs
0 zeroprobs, logprob= -861.037 ppl= 127.416 ppl1= 218.662
file rapsongs/song_126.txt: 109 sentences, 657 words, 0 OOVs
0 zeroprobs, logprob= -1577.8 ppl= 114.76 ppl1= 252.069
file rapsongs/song_127.txt: 60 sentences, 346 words, 0 OOVs
0 zeroprobs, logprob= -878.439 ppl= 145.761 ppl1= 345.812
file rapsongs/song_128.txt: 76 sentences, 614 words, 0 OOVs
0 zeroprobs, logprob= -1359.93 ppl= 93.5229 ppl1= 164.012
file rapsongs/song_129.txt: 90 sentences, 733 words, 0 OOVs
0 zeroprobs, logprob= -1679.67 ppl= 109.878 ppl1= 195.659
file rapsongs/song_130.txt: 65 sentences, 648 words, 0 OOVs
0 zeroprobs, logprob= -1595.95 ppl= 173.122 ppl1= 290.322
file rapsongs/song_131.txt: 1 sentences, 23 words, 0 OOVs
0 zeroprobs, logprob= -54.5902 ppl= 188.188 ppl1= 236.313
file rapsongs/song_132.txt: 77 sentences, 543 words, 0 OOVs
0 zeroprobs, logprob= -1343.55 ppl= 146.896 ppl1= 298.06
file rapsongs/song_133.txt: 43 sentences, 337 words, 0 OOVs
0 zeroprobs, logprob= -821.018 ppl= 144.735 ppl1= 273.058
file rapsongs/song_134.txt: 84 sentences, 842 words, 0 OOVs
0 zeroprobs, logprob= -1712.06 ppl= 70.611 ppl1= 107.974
file rapsongs/song_135.txt: 110 sentences, 865 words, 0 OOVs
0 zeroprobs, logprob= -2155.84 ppl= 162.601 ppl1= 310.674
file rapsongs/song_136.txt: 31 sentences, 257 words, 0 OOVs
0 zeroprobs, logprob= -609.649 ppl= 130.869 ppl1= 235.6
file rapsongs/song_137.txt: 12 sentences, 84 words, 0 OOVs
0 zeroprobs, logprob= -192.746 ppl= 101.806 ppl1= 197.06
file rapsongs/song_138.txt: 61 sentences, 404 words, 0 OOVs
0 zeroprobs, logprob= -1045.48 ppl= 177.149 ppl1= 387.093
file rapsongs/song_139.txt: 61 sentences, 483 words, 0 OOVs
0 zeroprobs, logprob= -1074.47 ppl= 94.4346 ppl1= 167.718
file rapsongs/song_140.txt: 107 sentences, 889 words, 0 OOVs
0 zeroprobs, logprob= -1944.89 ppl= 89.6806 ppl1= 154.073
file rapsongs/song_141.txt: 63 sentences, 627 words, 0 OOVs
0 zeroprobs, logprob= -1399.23 ppl= 106.627 ppl1= 170.46
file rapsongs/song_142.txt: 67 sentences, 596 words, 0 OOVs
0 zeroprobs, logprob= -1322.66 ppl= 98.8481 ppl1= 165.667
file rapsongs/song_143.txt: 86 sentences, 613 words, 0 OOVs
0 zeroprobs, logprob= -1409.89 ppl= 103.994 ppl1= 199.517
file rapsongs/song_144.txt: 17 sentences, 142 words, 0 OOVs
0 zeroprobs, logprob= -351.805 ppl= 163.158 ppl1= 300.26
file rapsongs/song_145.txt: 112 sentences, 952 words, 0 OOVs
0 zeroprobs, logprob= -2047.3 ppl= 83.9758 ppl1= 141.425
file rapsongs/song_146.txt: 91 sentences, 675 words, 0 OOVs
0 zeroprobs, logprob= -1581.78 ppl= 116.142 ppl1= 220.485
file rapsongs/song_147.txt: 66 sentences, 487 words, 0 OOVs
0 zeroprobs, logprob= -1191.52 ppl= 142.775 ppl1= 279.677
file rapsongs/song_148.txt: 41 sentences, 358 words, 0 OOVs
0 zeroprobs, logprob= -877.997 ppl= 158.67 ppl1= 283.469
file rapsongs/song_149.txt: 77 sentences, 838 words, 0 OOVs
0 zeroprobs, logprob= -1882.19 ppl= 114.035 ppl1= 176.218
file rapsongs/song_150.txt: 127 sentences, 829 words, 0 OOVs
0 zeroprobs, logprob= -2148.73 ppl= 176.859 ppl1= 390.801
file rapsongs/song_151.txt: 70 sentences, 579 words, 0 OOVs
0 zeroprobs, logprob= -1312.48 ppl= 105.273 ppl1= 184.846
file rapsongs/song_152.txt: 41 sentences, 305 words, 0 OOVs
0 zeroprobs, logprob= -732.3 ppl= 130.76 ppl1= 251.759
file rapsongs/song_153.txt: 38 sentences, 311 words, 0 OOVs
0 zeroprobs, logprob= -741.642 ppl= 133.367 ppl1= 242.495
file rapsongs/song_154.txt: 114 sentences, 681 words, 0 OOVs
0 zeroprobs, logprob= -1534.27 ppl= 85.0949 ppl1= 179.049
file rapsongs/song_155.txt: 91 sentences, 919 words, 0 OOVs
0 zeroprobs, logprob= -2058.35 ppl= 109.137 ppl1= 173.689
file rapsongs/song_156.txt: 60 sentences, 543 words, 0 OOVs
0 zeroprobs, logprob= -1234.23 ppl= 111.384 ppl1= 187.496
file rapsongs/song_157.txt: 77 sentences, 747 words, 0 OOVs
0 zeroprobs, logprob= -1691.21 ppl= 112.833 ppl1= 183.654
file rapsongs/song_158.txt: 73 sentences, 676 words, 0 OOVs
0 zeroprobs, logprob= -1360.92 ppl= 65.6126 ppl1= 103.086
file rapsongs/song_159.txt: 92 sentences, 814 words, 0 OOVs
0 zeroprobs, logprob= -1829.92 ppl= 104.658 ppl1= 177.033
file rapsongs/song_160.txt: 42 sentences, 315 words, 0 OOVs
0 zeroprobs, logprob= -773.529 ppl= 146.808 ppl1= 285.528
file rapsongs/song_161.txt: 98 sentences, 596 words, 0 OOVs
0 zeroprobs, logprob= -1331 ppl= 82.7693 ppl1= 171.09
file rapsongs/song_162.txt: 75 sentences, 690 words, 0 OOVs
0 zeroprobs, logprob= -1714.11 ppl= 174.045 ppl1= 304.938
file rapsongs/song_163.txt: 89 sentences, 724 words, 0 OOVs
0 zeroprobs, logprob= -1755.35 ppl= 144.247 ppl1= 265.781
file rapsongs/song_164.txt: 60 sentences, 562 words, 0 OOVs
0 zeroprobs, logprob= -1331.62 ppl= 138.314 ppl1= 234.114
